FID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Total Population,Total Housing Units,Shape__Area,Shape__Length
148,49,005,001201,49005001201,12.01,Census Tract,G5020,S,16624857,0,41.6713238,-111.8144872,6226,1729,29819034.19,33946.44172
120,49,049,001201,49049001201,12.01,Census Tract,G5020,S,2463963,0,40.2670293,-111.7036321,5803,1921,4236649.816,9299.204742
146,49,005,001202,49005001202,12.02,Census Tract,G5020,S,23261922,70433,41.6716166,-111.8562404,7230,1999,41851250.39,29911.14234
121,49,049,001202,49049001202,12.02,Census Tract,G5020,S,1693938,0,40.2662304,-111.688635,5201,1857,2912571.035,7080.727051
265,49,005,001300,49005001300,13,Census Tract,G5020,S,196800539,571430,41.6555607,-111.9603045,7159,2087,353817334.1,115597.7286
122,49,049,001300,49049001300,13,Census Tract,G5020,S,2669682,0,40.2741757,-111.6769875,3677,1433,4591343.813,11742.81914
147,49,005,001401,49005001401,14.01,Census Tract,G5020,S,15436013,0,41.6293321,-111.8266485,5392,1590,27650861.52,26392.54117
17,49,049,001401,49049001401,14.01,Census Tract,G5020,S,4765065,0,40.2853404,-111.6625556,3710,1167,8197695.492,19054.56827
145,49,005,001402,49005001402,14.02,Census Tract,G5020,S,14001125,13847,41.63596,-111.8754041,4149,1260,25111637.25,26549.67125
355,49,049,001403,49049001403,14.03,Census Tract,G5020,S,808294,0,40.255328,-111.6667101,2321,732,1389347.512,5335.82178
54,49,049,001404,49049001404,14.04,Census Tract,G5020,S,880039,0,40.2614467,-111.6730284,4011,1331,1512937.926,6385.763623
264,49,005,001500,49005001500,15,Census Tract,G5020,S,127001136,1757193,41.5534298,-111.8596147,2175,712,230110757.2,74622.92145
14,49,049,001501,49049001501,15.01,Census Tract,G5020,S,11812062,0,40.3014428,-111.639503,4191,1310,20330781.24,27217.9507
18,49,049,001503,49049001503,15.03,Census Tract,G5020,S,4960906,0,40.2768794,-111.636915,3919,1258,8532510.043,16668.78171
137,49,049,001504,49049001504,15.04,Census Tract,G5020,S,2723059,0,40.265929,-111.6445412,4632,1456,4682023.855,11929.80519
126,49,049,001601,49049001601,16.01,Census Tract,G5020,S,605361,0,40.2558119,-111.6591591,4385,1138,1040541.098,5341.874513
127,49,049,001602,49049001602,16.02,Census Tract,G5020,S,1569239,0,40.2507268,-111.6503298,5380,165,2696937.926,7482.477612
541,49,049,001701,49049001701,17.01,Census Tract,G5020,S,6841497,0,40.2563235,-111.6236778,3697,1201,11759913.36,17163.99977
445,49,049,001702,49049001702,17.02,Census Tract,G5020,S,1284809,0,40.2405854,-111.6357014,4282,1304,2207450.75,7038.188596
133,49,049,001801,49049001801,18.01,Census Tract,G5020,S,498974,0,40.2434274,-111.6508056,6062,1859,857366.1719,5442.406356
15,49,049,001802,49049001802,18.02,Census Tract,G5020,S,583166,0,40.2396106,-111.6508819,7141,2461,1001919.137,4695.290245
134,49,049,001803,49049001803,18.03,Census Tract,G5020,S,485039,0,40.2357059,-111.6498553,1945,809,833235.6563,4229.379572
135,49,049,001900,49049001900,19,Census Tract,G5020,S,1043713,0,40.244163,-111.6633607,4063,1454,1793413.289,6105.332318
