OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
133,27,Toquerville,0,TOQUERVILLE CITY,6/29/17 0:00,76900,3110,024,2,Toquerville City,1870,1960,TOQ,1446655,ef54f9b2-e66d-44f7-b3a7-853230d7bfea,90891976.67,69344.53415
85,28,Torrey,0,TORREY,8/4/21 0:00,77010,3040,010,2,Torrey,231,257,TOR,1446658,d67163bf-dca5-47b5-b936-4a62b9efc9f2,7242658.148,16657.94998
165,02,Tremonton,0,TREMONTON,2/8/22 0:00,77120,3150,113,3,Tremonton,9894,11840,TRM,1433664,5fc297ac-7a19-40f0-8c3d-a6bba3f2e3e9,38775777.29,61934.06541
66,03,Trenton,0,TRENTON,5/8/20 0:00,77230,3180,081,4, ,512,521,TRN,1433666,e00c7256-d917-4fcf-9ff9-3c55514a279b,38786083.02,35353.97038
108,09,Tropic,0,TROPIC,12/15/10 0:00,77560,3080,015,4, ,486,505,TRO,1446722,e5b7cf2a-8fd8-4a50-b71c-65ca45a63b8a,32791204.73,30541.3385
123,29,Uintah,0,UINTAH,2/11/21 0:00,77890,3110,043,3, ,1454,1422,UIN,1446835,61260cbf-f160-44fb-b462-733981a78d2b,5738380.484,18597.9701
30,24,Vernal,1,VERNAL,11/30/12 0:00,80090,3030,024,4,Vernal,10079,10432,VER,1433885,e48fd2a2-081a-4d3d-aaf3-17961f5e6a77,20998154.12,49031.23371
200,23,Vernon,0,VERNON,6/25/13 0:00,80200,3060,050,1, ,256,286,VNN,1446932,3360e3c0-b4b7-4675-b4f1-c50fdbab15a2,35736573.64,31726.46937
177,25,Vineyard,0,VINEYARD,9/28/18 0:00,80420,3195,117,2, ,12543,14535,VIN,1449150,8e8a502c-c92d-4c25-8a39-b057e6f8330e,28431374.55,31272.80202
253,27,Virgin,0,VIRGIN TOWN,1/11/19 0:00,80530,3120,026,1, ,670,697,VIR,1433898,f31cc2cd-efc6-454b-aca9-f641399ffcb7,48278220.88,37204.51954
245,20,Wales,0,WALES,9/27/10 0:00,80860,3130,033,4, ,338,357,WAE,1446954,b3a25e38-103a-4ad0-a880-f0ec31b3b5f0,1726848.363,5543.088899
151,26,Wallsburg,0,WALLSBURG,5/17/19 0:00,80970,3040,014,1, ,290,297,WBG,1446968,299f5a8d-6948-423a-b3ad-9bf6da21c72f,2818567.359,9495.964641
161,27,Washington,0,WASHINGTON CITY,7/28/21 0:00,81960,3130,027,1, ,27993,32709,WAS,1447019,93c4c9c6-b2c2-4d1f-b29e-a18f91496947,147606495.4,101225.1924
42,29,Washington Terrace,0,WASHINGTON TERRACE,10/2/15 0:00,82070,3120,049,4, ,9267,9160,WTR,1447026,e2071101-69cc-4902-a5ef-1edb24a66409,9201901.587,17904.48548
210,04,Wellington,0,WELLINGTON,12/12/13 0:00,82510,3060,053,3, ,1605,1625,WEL,1434038,13e53bbd-7d3d-4e68-9c25-ce9cc7f4ca16,22272285.61,59456.0577
103,03,Wellsville,0,WELLSVILLE,7/27/22 0:00,82620,3190,076,4, ,4060,4137,WLV,1447103,c361186c-b0c0-41f4-9fc0-6297dceb0f0a,33763899.59,64731.07557
7,23,Wendover,0,WENDOVER,8/25/16 0:00,82730,3070,052,4,Wendover,1115,1135,WEN,1434042,488fa43d-6801-4fe3-bd3d-04c8daa9fc55,40301885.82,31267.16857
258,06,West Bountiful,0,WEST BOUNTIFUL,11/30/20 0:00,82840,3130,061,2, ,5917,5888,WBO,1447113,ca9d3d50-a071-42ad-9337-fdbe84093cdc,15093115.2,23156.37356
81,29,West Haven,0,WEST HAVEN,6/7/21 0:00,82930,3130,051,3, ,16739,22395,WHV,1455859,84e28c18-7765-4d91-84cc-48056d6acf55,49383587.87,56512.0265
155,18,West Jordan,0,WEST JORDAN CITY,3/22/22 0:00,82950,3110,155,2, ,116961,116664,WJC,1434086,a1dae507-648c-4b68-b227-9c74af6311df,146605704.1,69322.35373
59,06,West Point,0,WEST POINT,5/30/23 0:00,83390,3140,056,1, ,10963,11892,WPT,1434108,ab1da27b-d29e-4e6c-bf93-36a2a2eb6848,34803220.46,39563.04635
246,18,West Valley City,0,WEST VALLEY CITY,2/2/12 0:00,83470,3120,167,3,West Valley,140230,136650,WVC,1437843,fef16174-bf9e-40f6-a533-f0f40fb91e82,161527778.3,75182.49613
179,18,White City,0,WHITE CITY,8/26/24 0:00,84050,3904,,3,White City,5522,5598,WMT,,bba2e776-f88c-4f0c-b5d5-b0f2d9a762f9,3930916.254,18516.50346
25,02,Willard,0,WILLARD CITY,5/28/24 0:00,84710,3160,120,1, ,1978,2224,WIL,1447372,4c000373-31eb-4524-adfd-136bfad121ec,34710558.35,39880.54381
39,25,Woodland Hills,0,WOODLAND HILLS,11/4/00 0:00,85050,3200,125,3, ,1521,1553,WDL,1455585,bef83160-a72e-42f5-bde9-1e05011a051a,11355343.03,17915.57867
3,17,Woodruff,0,WOODRUFF,11/17/17 0:00,85260,3040,010,4,Woodruff,169,177,WDR,1434462,c0b43c7a-2a9b-4fa5-ba0b-0173e9b73a63,3313525.012,10342.8314
29,06,Woods Cross,0,WOODS CROSS CITY,5/29/15 0:00,85370,3150,057,4, ,11410,11487,WCR,1447521,6c6e5dbb-705e-4b46-8729-1756d997f476,17402206.28,25597.62725
