X,Y,Z,Name,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,NAME2
421260.862706591,4547044.49884009,0,1259.05,"49","011","125905",1400000US49011125905,"49011125905",Census Tract 1259.05,UT,Davis County,Utah,CT,"4628455","88820",1259.05
421518.423437552,4545811.1938848,0,1259.06,"49","011","125906",1400000US49011125906,"49011125906",Census Tract 1259.06,UT,Davis County,Utah,CT,"5462485","102539",1259.06
420412.108173814,4548297.74951748,0,1259.07,"49","011","125907",1400000US49011125907,"49011125907",Census Tract 1259.07,UT,Davis County,Utah,CT,"2821988","17283",1259.07
422929.851233724,4548721.60185848,0,1259.08,"49","011","125908",1400000US49011125908,"49011125908",Census Tract 1259.08,UT,Davis County,Utah,CT,"3215122","0",1259.08
418855.344085828,4546194.77931812,0,1260.01,"49","011","126001",1400000US49011126001,"49011126001",Census Tract 1260.01,UT,Davis County,Utah,CT,"4476742","3867",1260.01
416890.7736051,4545328.54342983,0,1260.02,"49","011","126002",1400000US49011126002,"49011126002",Census Tract 1260.02,UT,Davis County,Utah,CT,"9187504","11501",1260.02
421964.753207985,4544576.9148012,0,1261.01,"49","011","126101",1400000US49011126101,"49011126101",Census Tract 1261.01,UT,Davis County,Utah,CT,"6110573","60844",1261.01
421878.787496301,4540934.88310599,0,1261.05,"49","011","126105",1400000US49011126105,"49011126105",Census Tract 1261.05,UT,Davis County,Utah,CT,"3556456","76982",1261.05
420107.207541673,4541963.13728364,0,1261.06,"49","011","126106",1400000US49011126106,"49011126106",Census Tract 1261.06,UT,Davis County,Utah,CT,"5465861","2422",1261.06
417609.96362592,4543874.21127506,0,1261.07,"49","011","126107",1400000US49011126107,"49011126107",Census Tract 1261.07,UT,Davis County,Utah,CT,"2889142","0",1261.07
418081.474207912,4540962.45760327,0,1261.08,"49","011","126108",1400000US49011126108,"49011126108",Census Tract 1261.08,UT,Davis County,Utah,CT,"19795018","23044",1261.08
424191.395466043,4539960.38089844,0,1262.03,"49","011","126203",1400000US49011126203,"49011126203",Census Tract 1262.03,UT,Davis County,Utah,CT,"4525357","19310",1262.03
429029.381687307,4538852.38308159,0,1262.04,"49","011","126204",1400000US49011126204,"49011126204",Census Tract 1262.04,UT,Davis County,Utah,CT,"59824943","49280",1262.04
422259.13795768,4538967.59495814,0,1262.05,"49","011","126205",1400000US49011126205,"49011126205",Census Tract 1262.05,UT,Davis County,Utah,CT,"5581484","15702",1262.05
419128.234580749,4534015.30544547,0,1262.06,"49","011","126206",1400000US49011126206,"49011126206",Census Tract 1262.06,UT,Davis County,Utah,CT,"23755427","48358640",1262.06
428649.484135848,4533277.77082853,0,1263.03,"49","011","126303",1400000US49011126303,"49011126303",Census Tract 1263.03,UT,Davis County,Utah,CT,"16835928","7693",1263.03
425017.9843378,4532066.31014815,0,1263.04,"49","011","126304",1400000US49011126304,"49011126304",Census Tract 1263.04,UT,Davis County,Utah,CT,"13521633","470763",1263.04
429818.499987106,4531147.50487625,0,1263.05,"49","011","126305",1400000US49011126305,"49011126305",Census Tract 1263.05,UT,Davis County,Utah,CT,"15113395","8339",1263.05
425758.410264704,4529947.97728555,0,1263.06,"49","011","126306",1400000US49011126306,"49011126306",Census Tract 1263.06,UT,Davis County,Utah,CT,"3920044","0",1263.06
431876.629924063,4525734.38623865,0,1264.02,"49","011","126402",1400000US49011126402,"49011126402",Census Tract 1264.02,UT,Davis County,Utah,CT,"67632465","19196",1264.02
425998.971786818,4520732.132046,0,1264.04,"49","011","126404",1400000US49011126404,"49011126404",Census Tract 1264.04,UT,Davis County,Utah,CT,"13497127","8233",1264.04
425512.362418593,4522039.30012588,0,1264.05,"49","011","126405",1400000US49011126405,"49011126405",Census Tract 1264.05,UT,Davis County,Utah,CT,"2514449","2123",1264.05
424221.97171908,4522362.23156111,0,1264.06,"49","011","126406",1400000US49011126406,"49011126406",Census Tract 1264.06,UT,Davis County,Utah,CT,"2070310","3200",1264.06
427317.196789113,4527383.73243535,0,1265,"49","011","126500",1400000US49011126500,"49011126500",Census Tract 1265,UT,Davis County,Utah,CT,"3776988","10898",1265
425659.421115274,4528017.52185276,0,1266,"49","011","126600",1400000US49011126600,"49011126600",Census Tract 1266,UT,Davis County,Utah,CT,"2447881","0",1266
425493.640603601,4526574.61790875,0,1267,"49","011","126700",1400000US49011126700,"49011126700",Census Tract 1267,UT,Davis County,Utah,CT,"2143828","0",1267
427484.262369986,4525383.41469171,0,1268.01,"49","011","126801",1400000US49011126801,"49011126801",Census Tract 1268.01,UT,Davis County,Utah,CT,"2637051","20437",1268.01
427159.803486689,4523688.12127375,0,1268.02,"49","011","126802",1400000US49011126802,"49011126802",Census Tract 1268.02,UT,Davis County,Utah,CT,"2950458","5466",1268.02
425465.251570111,4524972.76472645,0,1269.01,"49","011","126901",1400000US49011126901,"49011126901",Census Tract 1269.01,UT,Davis County,Utah,CT,"3509508","0",1269.01
425506.969633795,4523899.32005019,0,1269.02,"49","011","126902",1400000US49011126902,"49011126902",Census Tract 1269.02,UT,Davis County,Utah,CT,"3301150","4163",1269.02
421315.065981942,4521604.00189,0,1270.02,"49","011","127002",1400000US49011127002,"49011127002",Census Tract 1270.02,UT,Davis County,Utah,CT,"13559460","164837",1270.02
420040.020249272,4526225.28384819,0,1270.03,"49","011","127003",1400000US49011127003,"49011127003",Census Tract 1270.03,UT,Davis County,Utah,CT,"24820196","1700920",1270.03
422401.027967989,4525058.26964443,0,1270.05,"49","011","127005",1400000US49011127005,"49011127005",Census Tract 1270.05,UT,Davis County,Utah,CT,"3813929","1858",1270.05
423799.032574266,4525051.79782682,0,1270.06,"49","011","127006",1400000US49011127006,"49011127006",Census Tract 1270.06,UT,Davis County,Utah,CT,"3012260","0",1270.06
422701.968573955,4542109.97554879,0,1271,"49","011","127100",1400000US49011127100,"49011127100",Census Tract 1271,UT,Davis County,Utah,CT,"5998938","25717",1271
416983.989277538,4553450.40726331,0,9800,"49","011","980000",1400000US49011980000,"49011980000",Census Tract 9800,UT,Davis County,Utah,CT,"23460776","52503",9800
525450.111391098,4463459.72964111,0,9403,"49","013","940300",1400000US49013940300,"49013940300",Census Tract 9403,UT,Duchesne County,Utah,CT,"6263968440","32835386",9403
586325.297613395,4461789.27431345,0,9405.01,"49","013","940501",1400000US49013940501,"49013940501",Census Tract 9405.01,UT,Duchesne County,Utah,CT,"4179252","0",9405.01
