YEAR,GEOID20,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,ACS_PCT_UNINSURED
2020,49035101102,49035,49,Utah,Salt Lake County,West,1.51
2020,49035101200,49035,49,Utah,Salt Lake County,West,0.37
2020,49035101401,49035,49,Utah,Salt Lake County,West,12.8
2020,49035101402,49035,49,Utah,Salt Lake County,West,4.46
2020,49035101500,49035,49,Utah,Salt Lake County,West,4.99
2020,49035101600,49035,49,Utah,Salt Lake County,West,7.66
2020,49035101700,49035,49,Utah,Salt Lake County,West,5.95
2020,49035101800,49035,49,Utah,Salt Lake County,West,15.21
2020,49035101900,49035,49,Utah,Salt Lake County,West,10.12
2020,49035102000,49035,49,Utah,Salt Lake County,West,9.81
2020,49035102100,49035,49,Utah,Salt Lake County,West,15.64
2020,49035102300,49035,49,Utah,Salt Lake County,West,5.83
2020,49035102501,49035,49,Utah,Salt Lake County,West,8.25
2020,49035102502,49035,49,Utah,Salt Lake County,West,27.4
2020,49035102600,49035,49,Utah,Salt Lake County,West,29.32
2020,49035102701,49035,49,Utah,Salt Lake County,West,17.61
2020,49035102702,49035,49,Utah,Salt Lake County,West,26.83
2020,49035102801,49035,49,Utah,Salt Lake County,West,37.7
2020,49035102802,49035,49,Utah,Salt Lake County,West,15.66
2020,49035102900,49035,49,Utah,Salt Lake County,West,20.6
2020,49035103000,49035,49,Utah,Salt Lake County,West,8.28
2020,49035103100,49035,49,Utah,Salt Lake County,West,12.56
2020,49035103200,49035,49,Utah,Salt Lake County,West,9.11
2020,49035103300,49035,49,Utah,Salt Lake County,West,5.66
2020,49035103400,49035,49,Utah,Salt Lake County,West,2.71
2020,49035103500,49035,49,Utah,Salt Lake County,West,5.3
2020,49035103600,49035,49,Utah,Salt Lake County,West,1.07
2020,49035103700,49035,49,Utah,Salt Lake County,West,1.55
2020,49035103800,49035,49,Utah,Salt Lake County,West,1.61
2020,49035103900,49035,49,Utah,Salt Lake County,West,3.7
2020,49035104000,49035,49,Utah,Salt Lake County,West,3.43
2020,49035104100,49035,49,Utah,Salt Lake County,West,3.66
2020,49035104200,49035,49,Utah,Salt Lake County,West,0.3
2020,49035104300,49035,49,Utah,Salt Lake County,West,8.65
2020,49035104400,49035,49,Utah,Salt Lake County,West,1.49
2020,49035104700,49035,49,Utah,Salt Lake County,West,10.3
2020,49035104800,49035,49,Utah,Salt Lake County,West,9.57
2020,49035104900,49035,49,Utah,Salt Lake County,West,8
2020,49035110103,49035,49,Utah,Salt Lake County,West,0.94
2020,49035110104,49035,49,Utah,Salt Lake County,West,3.29
2020,49035110105,49035,49,Utah,Salt Lake County,West,2.59
2020,49035110106,49035,49,Utah,Salt Lake County,West,0.55
2020,49035110200,49035,49,Utah,Salt Lake County,West,4.59
2020,49035110300,49035,49,Utah,Salt Lake County,West,3.16
2020,49035110401,49035,49,Utah,Salt Lake County,West,12.57
2020,49035110402,49035,49,Utah,Salt Lake County,West,3.11
2020,49035110500,49035,49,Utah,Salt Lake County,West,2.8
2020,49035110600,49035,49,Utah,Salt Lake County,West,6.34
2020,49035110701,49035,49,Utah,Salt Lake County,West,9.2
2020,49035110702,49035,49,Utah,Salt Lake County,West,4.92
2020,49035110800,49035,49,Utah,Salt Lake County,West,5.57
2020,49035110900,49035,49,Utah,Salt Lake County,West,1.64
2020,49035111001,49035,49,Utah,Salt Lake County,West,6.06
2020,49035111002,49035,49,Utah,Salt Lake County,West,3.55
2020,49035111104,49035,49,Utah,Salt Lake County,West,2.33
2020,49035111105,49035,49,Utah,Salt Lake County,West,20.12
2020,49035111106,49035,49,Utah,Salt Lake County,West,12.11
2020,49035111107,49035,49,Utah,Salt Lake County,West,5.41
2020,49035111108,49035,49,Utah,Salt Lake County,West,5.7
2020,49035111109,49035,49,Utah,Salt Lake County,West,2.1
2020,49035111201,49035,49,Utah,Salt Lake County,West,4.98
2020,49035111202,49035,49,Utah,Salt Lake County,West,5.92
2020,49035111302,49035,49,Utah,Salt Lake County,West,3.25
2020,49035111304,49035,49,Utah,Salt Lake County,West,3.64
2020,49035111305,49035,49,Utah,Salt Lake County,West,1.43
2020,49035111306,49035,49,Utah,Salt Lake County,West,3.38
2020,49035111400,49035,49,Utah,Salt Lake County,West,22.91
2020,49035111500,49035,49,Utah,Salt Lake County,West,22.71
2020,49035111601,49035,49,Utah,Salt Lake County,West,22.18
2020,49035111602,49035,49,Utah,Salt Lake County,West,10.09
2020,49035111701,49035,49,Utah,Salt Lake County,West,13.28
2020,49035111702,49035,49,Utah,Salt Lake County,West,22.28
2020,49035111801,49035,49,Utah,Salt Lake County,West,8.66
2020,49035111802,49035,49,Utah,Salt Lake County,West,12.08
2020,49035111903,49035,49,Utah,Salt Lake County,West,5.8
2020,49035111904,49035,49,Utah,Salt Lake County,West,8.53
2020,49035111905,49035,49,Utah,Salt Lake County,West,12.66
2020,49035111906,49035,49,Utah,Salt Lake County,West,13.5
2020,49035112001,49035,49,Utah,Salt Lake County,West,8.21
2020,49035112002,49035,49,Utah,Salt Lake County,West,15.65
2020,49035112101,49035,49,Utah,Salt Lake County,West,11.72
2020,49035112102,49035,49,Utah,Salt Lake County,West,10.45
2020,49035112201,49035,49,Utah,Salt Lake County,West,3.92
2020,49035112202,49035,49,Utah,Salt Lake County,West,12.26
2020,49035112301,49035,49,Utah,Salt Lake County,West,4.61
2020,49035112302,49035,49,Utah,Salt Lake County,West,12.6
2020,49035112402,49035,49,Utah,Salt Lake County,West,22.05
2020,49035112404,49035,49,Utah,Salt Lake County,West,16.24
2020,49035112405,49035,49,Utah,Salt Lake County,West,11.4
2020,49035112406,49035,49,Utah,Salt Lake County,West,26.68
2020,49035112501,49035,49,Utah,Salt Lake County,West,6.79
2020,49035112503,49035,49,Utah,Salt Lake County,West,8.86
2020,49035112504,49035,49,Utah,Salt Lake County,West,17.66
2020,49035112505,49035,49,Utah,Salt Lake County,West,9.57
2020,49035112604,49035,49,Utah,Salt Lake County,West,9.06
2020,49035112608,49035,49,Utah,Salt Lake County,West,5.34
2020,49035112609,49035,49,Utah,Salt Lake County,West,2.55
2020,49035112610,49035,49,Utah,Salt Lake County,West,11.37
2020,49035112611,49035,49,Utah,Salt Lake County,West,7.17
2020,49035112612,49035,49,Utah,Salt Lake County,West,13.9
2020,49035112613,49035,49,Utah,Salt Lake County,West,3.33
2020,49035112614,49035,49,Utah,Salt Lake County,West,4.98
2020,49035112615,49035,49,Utah,Salt Lake County,West,2.84
2020,49035112616,49035,49,Utah,Salt Lake County,West,3.31
2020,49035112617,49035,49,Utah,Salt Lake County,West,1.44
2020,49035112618,49035,49,Utah,Salt Lake County,West,3.14
2020,49035112619,49035,49,Utah,Salt Lake County,West,10.85
2020,49035112620,49035,49,Utah,Salt Lake County,West,17.95
2020,49035112621,49035,49,Utah,Salt Lake County,West,16.49
2020,49035112700,49035,49,Utah,Salt Lake County,West,9.29
2020,49035112804,49035,49,Utah,Salt Lake County,West,3.8
2020,49035112805,49035,49,Utah,Salt Lake County,West,8.15
2020,49035112812,49035,49,Utah,Salt Lake County,West,5.14
2020,49035112813,49035,49,Utah,Salt Lake County,West,4.42
2020,49035112814,49035,49,Utah,Salt Lake County,West,2.5
2020,49035112815,49035,49,Utah,Salt Lake County,West,1.88
2020,49035112816,49035,49,Utah,Salt Lake County,West,4.96
2020,49035112818,49035,49,Utah,Salt Lake County,West,
2020,49035112821,49035,49,Utah,Salt Lake County,West,2.77
2020,49035112822,49035,49,Utah,Salt Lake County,West,8.51
2020,49035112823,49035,49,Utah,Salt Lake County,West,6.25
2020,49035112824,49035,49,Utah,Salt Lake County,West,8.87
2020,49035112825,49035,49,Utah,Salt Lake County,West,1.73
2020,49035112826,49035,49,Utah,Salt Lake County,West,2.41
2020,49035112827,49035,49,Utah,Salt Lake County,West,2.69
2020,49035112828,49035,49,Utah,Salt Lake County,West,3.94
2020,49035112829,49035,49,Utah,Salt Lake County,West,10.86
2020,49035112830,49035,49,Utah,Salt Lake County,West,9.08
2020,49035112831,49035,49,Utah,Salt Lake County,West,3.71
2020,49035112904,49035,49,Utah,Salt Lake County,West,10.74
2020,49035112905,49035,49,Utah,Salt Lake County,West,4.37
2020,49035112907,49035,49,Utah,Salt Lake County,West,9.08
2020,49035112912,49035,49,Utah,Salt Lake County,West,5.63
2020,49035112913,49035,49,Utah,Salt Lake County,West,20.12
2020,49035112914,49035,49,Utah,Salt Lake County,West,8.67
2020,49035112916,49035,49,Utah,Salt Lake County,West,18.5
2020,49035112917,49035,49,Utah,Salt Lake County,West,4.65
2020,49035112918,49035,49,Utah,Salt Lake County,West,19.21
2020,49035112920,49035,49,Utah,Salt Lake County,West,6.92
2020,49035112921,49035,49,Utah,Salt Lake County,West,9.62
2020,49035113007,49035,49,Utah,Salt Lake County,West,5.11
2020,49035113008,49035,49,Utah,Salt Lake County,West,1.37
2020,49035113010,49035,49,Utah,Salt Lake County,West,6.42
2020,49035113011,49035,49,Utah,Salt Lake County,West,5.32
2020,49035113012,49035,49,Utah,Salt Lake County,West,1.52
2020,49035113013,49035,49,Utah,Salt Lake County,West,1.12
2020,49035113014,49035,49,Utah,Salt Lake County,West,5.1
2020,49035113016,49035,49,Utah,Salt Lake County,West,5.52
2020,49035113017,49035,49,Utah,Salt Lake County,West,9.41
2020,49035113021,49035,49,Utah,Salt Lake County,West,2.37
2020,49035113022,49035,49,Utah,Salt Lake County,West,2.52
